Name,Total_Count,Dominant_Gender,Origin_Region
James,5129096,M,Anglo
John,5106590,M,Anglo
Robert,4816785,M,Anglo
Michael,4330805,M,Anglo
Mary,4130441,F,Anglo
William,4071368,M,Anglo
David,3590557,M,Anglo
Joseph,2580687,M,Anglo
Richard,2564867,M,Anglo
Charles,2376700,M,Anglo
Thomas,2291517,M,Anglo
Christopher,2004177,M,Anglo
Daniel,1876880,M,Anglo
Elizabeth,1606282,F,Anglo
Patricia,1575529,F,Anglo
Matthew,1558671,M,Anglo
Jennifer,1467573,F,Anglo
George,1464430,M,Anglo
Linda,1454599,F,Anglo
Barbara,1437083,F,Anglo
Donald,1414511,M,Anglo
Anthony,1410142,M,Irish_Italian
Paul,1386884,M,Anglo
Mark,1348242,M,Anglo
Edward,1286568,M,Anglo
Steven,1277582,M,Anglo
Kenneth,1272151,M,Anglo
Andrew,1260738,M,Anglo
Margaret,1243750,F,Anglo
Joshua,1179654,M,Anglo
Brian,1162528,M,Irish_Italian
Kevin,1158447,M,Irish_Italian
Susan,1123009,F,Anglo
Dorothy,1109362,F,Anglo
Ronald,1079633,M,Anglo
Timothy,1064929,M,Anglo
Sarah,1063944,F,Anglo
Jessica,1044144,F,Anglo
Jason,1019582,M,Anglo
Helen,1019006,F,Anglo
Nancy,1003902,F,Anglo
Betty,1002470,F,Anglo
Karen,986566,F,Anglo
Jeffrey,973729,M,Anglo
Lisa,966712,F,Anglo
Ryan,921081,M,Irish_Italian
Frank,912028,M,Anglo
Gary,901800,M,Anglo
Nicholas,881014,M,Anglo
Jacob,877522,M,Anglo
Anna,876488,F,Anglo
Sandra,875152,F,Anglo
Eric,870230,M,Anglo
Stephen,855396,M,Anglo
Ashley,850258,F,Anglo
Donna,832504,F,Anglo
Kimberly,832360,F,Anglo
Carol,824433,F,Anglo
Ruth,822845,F,Anglo
Jonathan,816025,M,Anglo
Emily,810470,F,Anglo
Michelle,807746,F,Anglo
Larry,807412,M,Anglo
Laura,794233,F,Anglo
Amanda,783945,F,Anglo
Scott,771804,M,Anglo
Raymond,771354,M,Anglo
Justin,766318,M,Anglo
Melissa,751940,F,Anglo
Brandon,744959,M,Anglo
Rebecca,744166,F,Anglo
Deborah,740931,F,Anglo
Stephanie,737798,F,Anglo
Sharon,723640,F,Anglo
Samuel,720632,M,Anglo
Kathleen,712282,F,Irish_Italian
Cynthia,709085,F,Anglo
Gregory,706823,M,Anglo
Benjamin,694911,M,Anglo
Shirley,694206,F,Anglo
Amy,686439,F,Anglo
Patrick,668002,M,Irish_Italian
Jack,662254,M,Anglo
Angela,661381,F,Irish_Italian
Catherine,655560,F,Anglo
Henry,652388,M,Anglo
Virginia,648542,F,Anglo
Jerry,627684,M,Anglo
Katherine,627197,F,Anglo
Alexander,624747,M,Anglo
Walter,620664,M,Anglo
Dennis,618268,M,Anglo
Brenda,607934,F,Anglo
Emma,595546,F,Anglo
Pamela,595047,F,Anglo
Willie,593888,M,Anglo
Frances,592216,F,Anglo
Tyler,586491,M,Anglo
Christine,585454,F,Anglo
Nicole,581900,F,Anglo
Peter,571171,M,Anglo
Rachel,559201,F,Anglo
Douglas,558092,M,Anglo
Aaron,557843,M,Anglo
Samantha,557127,F,Anglo
Janet,556932,F,Anglo
Carolyn,555370,F,Anglo
Debra,551325,F,Anglo
