Year,Origin_Region,Region_Births,Total_Births,Share
1880,African_MiddleEastern,14,201484,0.0069484425562327526
1880,Anglo,169270,201484,84.01163367810844
1880,Asian,389,201484,0.19306743959818148
1880,Irish_Italian,453,201484,0.22483174842667408
1880,Latin,1898,201484,0.9420102836949832
1880,Other,29460,201484,14.621508407615494
1881,African_MiddleEastern,11,192699,0.0057083845790585315
1881,Anglo,161573,192699,83.84734741747492
1881,Asian,381,192699,0.19771768405648188
1881,Irish_Italian,390,192699,0.20238818053025703
1881,Latin,1848,192699,0.9590086092818334
1881,Other,28496,192699,14.787829724077447
1882,African_MiddleEastern,11,221538,0.0049652881221280325
1882,Anglo,184870,221538,83.44843773980085
1882,Asian,470,221538,0.21215321976365228
1882,Irish_Italian,487,221538,0.21982684686148649
1882,Latin,2067,221538,0.9330227771307856
1882,Other,33633,221538,15.181594128321102
1883,African_MiddleEastern,13,216950,0.005992164093109011
1883,Anglo,181017,216950,83.43719751094723
1883,Asian,443,216950,0.2041945148651763
1883,Irish_Italian,448,216950,0.20649919336252592
1883,Latin,2021,216950,0.9315510486287162
1883,Other,33008,216950,15.21456556810325
1884,African_MiddleEastern,6,243467,0.002464399692771505
1884,Anglo,201519,243467,82.77056028127015
1884,Asian,483,243467,0.19838417526810617
1884,Irish_Italian,505,243467,0.207420307474935
1884,Latin,2344,243467,0.9627588133094013
1884,Other,38610,243467,15.858412022984632
1885,African_MiddleEastern,15,240855,0.006227813414710096
1885,Anglo,199181,240855,82.69747358369143
1885,Asian,394,240855,0.16358389902638518
1885,Irish_Italian,504,240855,0.20925453073425918
1885,Latin,2372,240855,0.9848248946461564
1885,Other,38389,240855,15.938635278487057
1886,African_MiddleEastern,14,255319,0.00548333653194631
1886,Anglo,211668,255319,82.90334836028654
1886,Asian,436,255319,0.17076676628061366
1886,Irish_Italian,567,255319,0.22207512954382558
1886,Latin,2481,255319,0.971725566839914
1886,Other,40153,255319,15.726600840517158
1887,African_MiddleEastern,10,247396,0.0040421025400572365
1887,Anglo,204999,247396,82.86269786091933
