Name,Total_Count,Dominant_Gender
James,5129096,M
John,5106590,M
Robert,4816785,M
Michael,4330805,M
Mary,4130441,F
William,4071368,M
David,3590557,M
Joseph,2580687,M
Richard,2564867,M
Charles,2376700,M
Thomas,2291517,M
Christopher,2004177,M
Daniel,1876880,M
Elizabeth,1606282,F
Patricia,1575529,F
Matthew,1558671,M
Jennifer,1467573,F
George,1464430,M
Linda,1454599,F
Barbara,1437083,F
Donald,1414511,M
Anthony,1410142,M
Paul,1386884,M
Mark,1348242,M
Edward,1286568,M
Steven,1277582,M
Kenneth,1272151,M
Andrew,1260738,M
Margaret,1243750,F
Joshua,1179654,M
Brian,1162528,M
Kevin,1158447,M
Susan,1123009,F
Dorothy,1109362,F
Ronald,1079633,M
Timothy,1064929,M
Sarah,1063944,F
Jessica,1044144,F
Jason,1019582,M
Helen,1019006,F
Nancy,1003902,F
Betty,1002470,F
Karen,986566,F
Jeffrey,973729,M
Lisa,966712,F
Ryan,921081,M
Frank,912028,M
Gary,901800,M
Nicholas,881014,M
Jacob,877522,M
Anna,876488,F
Sandra,875152,F
Eric,870230,M
Stephen,855396,M
Ashley,850258,F
Donna,832504,F
Kimberly,832360,F
Carol,824433,F
Ruth,822845,F
Jonathan,816025,M
Emily,810470,F
Michelle,807746,F
Larry,807412,M
Laura,794233,F
Amanda,783945,F
Scott,771804,M
Raymond,771354,M
Justin,766318,M
Melissa,751940,F
Brandon,744959,M
Rebecca,744166,F
Deborah,740931,F
Stephanie,737798,F
Sharon,723640,F
Samuel,720632,M
Kathleen,712282,F
Cynthia,709085,F
Gregory,706823,M
Benjamin,694911,M
Shirley,694206,F
Amy,686439,F
Patrick,668002,M
Jack,662254,M
Angela,661381,F
Catherine,655560,F
Henry,652388,M
Virginia,648542,F
Jerry,627684,M
Katherine,627197,F
Alexander,624747,M
Walter,620664,M
Dennis,618268,M
Brenda,607934,F
Emma,595546,F
Pamela,595047,F
Willie,593888,M
Frances,592216,F
Tyler,586491,M
Christine,585454,F
Nicole,581900,F
Peter,571171,M
Rachel,559201,F
Douglas,558092,M
Aaron,557843,M
Samantha,557127,F
Janet,556932,F
Carolyn,555370,F
Debra,551325,F
Harold,551319,M
Alice,551034,F
Kelly,550441,F
Jose,549587,M
Martha,549157,F
Maria,538815,F
Marie,536748,F
Adam,536164,M
Evelyn,534502,F
Arthur,526332,M
Heather,525199,F
Nathan,520141,M
Zachary,519870,M
Diane,519070,F
Terry,518241,M
Joyce,508976,F
Julie,507398,F
Carl,504555,M
Albert,488016,M
Joan,485181,F
Jean,480901,F
Kyle,479950,M
Jordan,479434,M
Rose,477271,F
Christina,475075,F
Grace,469034,F
Ann,468874,F
Victoria,465493,F
Lauren,465209,F
Doris,464738,F
Joe,460785,M
Lawrence,457099,M
Judith,452444,F
Mildred,451926,F
Kathryn,449667,F
Gerald,448685,M
Julia,447836,F
Cheryl,439974,F
Roger,439559,M
Megan,435368,F
Keith,434753,M
Jeremy,429967,M
Andrea,429394,F
Harry,421815,M
Jesse,421406,M
Lillian,421392,F
Jacqueline,418727,F
Sara,418257,F
Taylor,416096,F
Sean,414370,M
Ralph,413645,M
Teresa,413199,F
Gloria,411282,F
Christian,411017,M
Hannah,409938,F
Janice,406224,F
Roy,405337,M
Theresa,403878,F
Austin,395484,M
Louis,393972,M
Alexis,388463,F
Billy,386873,M
Judy,382568,F
Bruce,381426,M
Beverly,381053,F
Eugene,380278,M
Olivia,377034,F
Leslie,376587,F
Bryan,374790,M
Denise,372626,F
Ethan,372301,M
Marilyn,369380,F
Amber,368205,F
Jane,368121,F
Danielle,365169,F
Brittany,357551,F
Diana,355198,F
Madison,353947,F
Wayne,352633,M
Russell,352201,M
Irene,351594,F
Jamie,350262,F
Annie,348017,F
Shannon,345939,F
Howard,345916,M
Fred,344563,M
Lori,341246,F
Dylan,341057,M
Alan,340148,M
Ruby,340143,F
Philip,337851,M
Juan,337628,M
Florence,335885,F
Tiffany,335556,F
Lois,334217,F
Louise,333948,F
Kathy,333866,F
Tammy,332958,F
Robin,332662,F
Shawn,332036,M
